A,B,C,D,F
16,32,0,12,2
50,48,1,0,0
12,3,2,8,1
63,55,1,4,0
64,54,1,7,1
36,60,0,2,5
29,5,3,5,0
56,42,1,11,4
19,23,1,6,5
20,6,0,12,2
58,7,3,6,1
66,67,0,10,4
58,4,1,2,5
37,14,0,4,3
63,69,2,8,1
7,28,3,5,2
55,69,1,8,5
8,67,0,4,4
8,46,2,3,3
21,36,3,8,3
32,29,0,1,2
7,41,3,12,3
31,4,1,4,3
12,67,2,10,2
26,21,1,12,3
12,38,0,1,0
67,31,1,5,5
40,47,3,4,0
53,69,3,5,5
3,24,0,10,0
25,28,3,8,0
54,42,1,0,2
36,58,2,0,1
38,51,2,11,3
69,52,1,2,0
48,70,3,5,5
63,25,2,3,1
61,33,0,6,1
2,22,1,8,3
16,37,1,0,3
28,33,2,6,2
55,3,2,4,3
53,29,1,5,3
19,45,2,9,5
60,7,3,7,2
33,15,0,0,4
6,35,3,3,2
3,0,1,7,4
34,62,2,3,2
2,53,2,4,2
18,55,1,9,2
43,45,0,10,2
54,6,3,11,0
15,15,2,1,1
20,37,2,8,1
51,14,1,3,0
49,32,2,9,3
46,54,0,2,0
44,9,1,4,3
63,32,3,7,2
13,68,1,6,4
48,59,1,2,3
44,27,1,12,2
5,45,1,7,1
19,14,2,8,3
16,57,0,0,5
41,47,1,9,2
15,22,3,6,1
58,29,0,8,3
30,69,1,6,3
33,29,0,0,5
36,44,3,5,1
43,32,2,1,1
19,19,1,4,0
53,15,2,11,4
24,18,0,3,2
36,60,3,1,3
13,22,2,4,3
2,68,0,2,0
69,20,3,8,1
52,43,0,2,3
33,63,2,0,4
59,22,3,5,1
24,64,2,9,5
22,14,0,4,2
1,59,0,12,4
15,21,3,4,3
29,34,1,10,0
13,32,0,5,5
16,9,1,12,3
58,32,0,0,2
26,0,2,1,4
64,15,2,1,1
29,36,2,8,1
7,55,3,11,0
54,5,0,12,4
58,17,1,4,0
58,0,1,11,3
68,20,2,10,2
13,62,1,10,5
15,62,2,6,3
18,63,3,7,0
11,27,3,8,4
3,44,0,2,5
60,41,3,8,0
66,66,1,1,0
8,40,3,9,3
46,36,2,10,0
53,6,1,1,4
10,59,1,9,1
38,27,2,0,3
43,21,0,2,4
57,24,1,4,0
3,63,0,0,4
9,10,2,4,2
24,65,1,1,4
52,60,0,9,1
54,63,0,0,5
7,64,1,6,5
70,22,3,2,4
70,1,2,8,4
52,57,0,2,5
18,69,3,7,2
8,3,0,3,1
45,26,1,7,2
30,49,3,1,2
49,29,2,10,4
45,28,0,9,4
16,2,2,3,3
58,5,3,10,5
27,58,3,9,5
23,67,1,9,4
3,65,1,8,0
5,18,1,9,2
46,33,1,9,3
57,43,0,10,5
59,60,0,7,4
13,24,1,3,0
35,10,3,2,3
18,65,2,11,3
5,66,3,8,1
55,3,3,10,2
18,36,3,6,4
24,70,2,10,2
60,29,1,5,5
52,10,0,1,2
12,34,2,6,5
58,30,0,12,3
26,65,3,1,1
21,70,0,9,0
46,25,3,9,5
43,69,1,3,3
29,43,3,5,3
57,15,1,7,5
1,55,3,11,5
3,0,3,4,2
39,53,2,11,3
65,66,2,4,4
0,63,3,11,4
64,65,3,5,0
37,55,3,3,1
37,15,2,1,1
52,6,3,4,2
38,62,0,12,1
26,69,0,4,1
42,12,0,11,0
60,11,2,8,5
42,21,2,7,0
54,65,1,1,5
10,67,0,0,3
36,23,2,10,3
64,9,3,5,2
4,31,1,9,3
5,65,3,2,4
36,7,1,7,1
3,38,2,11,2
7,55,3,6,5
14,40,2,5,5
29,2,0,7,1
6,40,1,10,2
50,28,2,2,0
35,18,0,8,5
49,51,1,2,1
30,51,3,11,3
10,13,2,12,0
47,32,1,0,2
38,35,0,0,1
36,10,0,2,1
67,47,3,3,5
47,26,1,3,2
20,51,1,4,1
23,14,2,0,0
20,43,0,3,1
30,68,0,5,4
12,12,0,0,5
52,54,3,4,5
51,36,0,12,3
66,1,3,4,4
44,57,1,7,0
56,64,3,3,3
67,50,3,9,3
10,68,0,6,4
8,54,3,11,4
61,47,3,2,3
15,40,0,12,2
52,17,3,7,5
11,68,3,12,3
50,49,2,2,4
42,16,3,7,1
15,20,3,9,4
3,25,0,0,2
15,10,0,2,4
41,10,2,8,2
9,70,0,2,3
60,59,1,1,3
16,64,3,10,0
44,67,0,3,4
20,35,2,12,1
38,8,1,1,1
59,60,1,6,2
60,48,1,3,4
34,51,2,6,1
33,62,0,2,5
58,30,0,11,3
43,23,0,9,1
60,3,1,1,2
49,57,1,0,4
48,53,1,10,0
18,11,3,11,1
50,59,2,7,0
57,35,1,12,4
36,38,1,12,3
61,31,2,12,0
6,46,2,0,0
4,20,3,9,2
6,29,3,9,2
26,28,3,12,4
52,9,2,1,3
13,6,3,9,5
3,6,2,2,0
69,24,3,8,4
22,12,1,2,3
67,21,0,2,5
44,70,2,6,5
26,65,2,8,5
14,13,2,3,1
63,35,1,2,4
1,23,1,5,1
68,19,3,8,3
34,60,2,1,5
41,42,0,9,5
44,8,2,2,3
22,26,2,4,2
2,2,2,4,1
15,29,1,9,4
70,15,3,5,0
9,35,3,7,1
54,38,3,10,1
59,3,1,8,0
35,56,1,10,1
69,51,1,6,3
13,46,1,5,2
24,21,1,8,2
14,60,1,10,5
7,68,2,10,5
21,27,2,6,0
41,49,3,10,2
61,22,1,11,3
51,17,0,4,0
18,31,1,11,3
70,57,2,2,1
6,46,3,3,2
11,30,2,8,0
33,6,3,11,1
51,3,0,12,4
60,26,0,6,3
45,2,3,9,5
14,34,2,4,3
19,16,2,7,2
22,32,2,7,4
37,63,0,9,0
11,16,3,2,3
64,12,0,0,0
20,36,1,7,2
9,69,0,9,1
19,59,3,1,2
0,18,3,0,5
50,24,0,12,5
48,57,2,7,0
51,64,0,1,0
62,4,3,3,0
54,1,0,7,5
0,2,1,5,4
10,2,1,0,2
46,9,0,12,5
41,34,0,1,1
36,12,0,7,4
4,6,3,8,5
28,5,3,0,0
2,40,3,6,3
35,34,3,6,0
12,66,1,2,5
66,4,3,3,4
30,45,2,12,1
49,1,1,7,1
31,58,0,6,2
61,64,1,10,1
17,25,1,9,3
12,56,1,12,4
54,5,3,3,0
26,37,3,4,3
32,56,3,0,2
40,69,0,3,1
56,26,2,0,1
18,11,0,1,2
49,68,2,10,3
39,22,0,10,5
48,16,2,2,1
66,3,0,4,2
38,51,3,7,1
17,37,3,3,5
39,30,1,2,4
35,17,2,0,0
34,18,0,10,3
3,55,1,1,3
57,17,0,6,2
52,46,2,3,5
29,2,3,7,4
69,35,0,6,2
41,68,3,4,0
33,70,1,4,4
42,67,2,4,0
4,61,0,0,3
43,27,0,3,2
63,43,3,2,4
45,65,0,6,2
0,58,2,12,3
23,28,2,7,4
41,32,2,7,0
69,26,2,6,5
35,17,1,5,5
13,41,2,4,3
28,24,1,12,5
36,6,2,8,1
50,22,1,10,1
55,58,3,12,3
4,7,1,1,5
70,31,0,9,5
31,13,1,12,2
21,21,2,5,2
25,1,3,11,4
10,5,2,9,0
32,44,1,0,0
30,60,0,2,5
15,46,2,6,1
28,26,1,10,0
49,38,2,11,2
37,1,0,3,4
22,14,0,1,5
1,49,0,11,5
58,39,1,9,2
18,58,3,10,5
