A,B
6,9
63,26
52,34
38,54
2,34
1,64
67,60
24,70
6,66
9,5
20,34
67,22
59,14
68,13
17,42
8,39
67,22
45,16
17,7
65,9
45,68
14,17
6,67
0,17
2,29
51,24
35,43
63,47
7,37
8,10
70,62
0,54
23,51
32,31
9,30
69,15
39,12
10,67
32,6
24,48
51,63
66,3
68,57
2,2
63,4
23,42
50,70
66,33
12,45
55,29
18,34
25,20
19,40
4,2
26,9
50,51
40,33
56,50
27,16
23,40
68,21
62,61
29,67
9,3
28,56
64,34
49,14
59,31
61,53
0,16
57,33
3,16
51,16
25,3
29,48
16,16
27,56
69,22
27,27
17,2
45,60
24,50
52,69
40,23
57,5
50,15
30,67
53,6
45,26
23,63
36,67
63,52
36,51
30,4
47,55
22,69
7,32
20,48
43,70
70,42
50,69
3,28
47,8
12,30
30,20
9,14
45,48
5,49
33,13
56,24
7,23
46,53
61,22
26,18
33,28
58,36
16,24
28,0
10,32
29,31
13,36
30,20
47,52
70,2
3,65
51,18
65,50
35,33
38,64
45,16
29,42
0,15
41,52
39,8
34,31
19,19
38,44
22,9
33,45
0,69
64,65
17,67
33,41
70,58
57,28
63,61
29,28
52,3
13,3
25,43
12,51
41,4
8,44
28,32
56,45
2,12
48,1
1,55
10,55
69,36
63,8
11,65
63,39
62,8
64,25
16,52
36,23
63,50
2,48
70,1
44,22
43,45
24,58
58,5
7,17
67,59
61,59
70,69
38,57
10,55
11,69
26,70
33,0
21,19
43,60
36,32
45,41
32,5
48,31
42,29
40,32
65,28
38,46
11,67
23,27
23,46
0,2
40,12
28,64
22,67
21,44
20,65
22,60
61,5
15,7
14,56
5,22
14,27
53,30
36,67
62,40
7,49
15,58
26,22
36,35
12,18
63,18
35,7
14,22
11,28
68,13
41,7
69,66
43,69
11,7
64,17
22,7
53,26
47,43
31,42
60,31
59,11
28,11
61,56
29,1
32,43
38,24
69,41
42,57
33,7
67,41
20,39
42,4
14,51
30,3
41,13
15,15
34,29
48,33
58,55
36,59
23,37
30,57
51,55
29,22
57,43
58,63
1,41
48,57
43,16
31,37
7,13
29,55
19,8
69,28
68,16
53,62
48,58
20,33
67,21
26,44
2,63
28,2
32,46
18,34
60,41
68,48
19,7
28,46
59,45
15,25
45,17
53,11
28,14
70,28
18,8
34,16
39,21
11,15
10,46
45,48
30,57
0,67
58,42
5,19
14,40
33,4
17,68
11,65
40,51
36,63
3,63
30,60
67,48
34,43
2,29
64,57
39,63
22,19
4,49
14,39
19,50
29,59
44,63
35,40
20,57
70,44
49,21
70,8
48,3
46,39
65,66
57,54
9,48
25,37
69,54
14,57
59,32
56,38
69,37
66,5
27,31
25,56
44,57
59,42
35,0
40,14
53,14
35,14
48,23
6,27
59,57
60,14
43,36
70,13
40,11
44,62
2,24
47,51
11,40
14,46
0,21
31,53
48,39
6,58
17,6
54,44
66,44
22,63
21,35
15,27
69,16
45,24
9,26
70,58
13,43
35,55
6,0
40,61
2,37
40,10
4,0
14,62
24,47
39,27
19,5
50,17
21,7
43,2
39,20
64,14
8,46
52,37
31,44
43,13
45,21
50,2
32,60
44,38
22,39
13,66
61,7
11,19
33,10
62,24
22,16
2,58
21,33
66,45
61,25
3,23
48,43
68,60
15,34
68,3
49,42
16,44
63,30
62,16
59,1
63,18
3,48
53,70
13,68
42,45
11,32
30,12
21,26
66,31
31,64
65,19
53,13
36,64
70,23
23,54
57,23
56,45
58,65
6,14
12,4
35,30
37,33
60,49
46,54
5,36
63,63
35,25
68,44
34,29
42,10
35,60
15,44
45,23
0,11
47,0
18,34
1,54
14,51
38,13
33,51
46,50
36,53
42,1
11,7
38,18
21,27
33,42
13,19
48,41
5,37
26,24
